,council,simd,n,frq
265,South Lanarkshire,9,5123,0.094
266,South Lanarkshire,10,2149,0.039
267,Stirling,1,645,0.041
268,Stirling,2,1206,0.077
269,Stirling,3,647,0.042
270,Stirling,4,1786,0.115
271,Stirling,5,1058,0.068
272,Stirling,6,1640,0.105
273,Stirling,7,1410,0.091
274,Stirling,8,2535,0.163
275,Stirling,9,1565,0.101
276,Stirling,10,3075,0.198
277,West Dunbartonshire,1,1502,0.114
278,West Dunbartonshire,2,2896,0.22
279,West Dunbartonshire,3,2414,0.184
280,West Dunbartonshire,4,1852,0.141
281,West Dunbartonshire,5,1319,0.1
282,West Dunbartonshire,6,834,0.063
283,West Dunbartonshire,7,1309,0.1
284,West Dunbartonshire,8,701,0.053
285,West Dunbartonshire,9,169,0.013
286,West Dunbartonshire,10,140,0.011
287,West Lothian,1,1314,0.052
288,West Lothian,2,2950,0.116
289,West Lothian,3,5076,0.2
290,West Lothian,4,2839,0.112
291,West Lothian,5,3965,0.156
292,West Lothian,6,2051,0.081
293,West Lothian,7,2044,0.081
294,West Lothian,8,1774,0.07
295,West Lothian,9,1753,0.069
296,West Lothian,10,1579,0.062
